model_key,family,silhouette,silhouette_status,calinski_harabasz,davies_bouldin,ari_post_fit,nmi_post_fit,purity_descriptive,cluster_count_excluding_noise,noise_rate,fit_seconds
dbscan,DBSCAN,0.4265038330567361,available,80.97006128872222,1.0614454649516383,0.8089227016769397,0.8673354598103372,0.8881578947368421,13,0.23519736842105263,0.13606440000148723
kmeans,K-Means,0.3510841965943414,available,152.61208352684417,1.4844609803360183,1.0,1.0,1.0,6,0.0,0.36510400000042864
agglomerative,Agglomerative clustering,0.3510841965943414,available,152.61208352684417,1.4844609803360183,1.0,1.0,1.0,6,0.0,0.1976262999996834
gaussian_mixture,Gaussian Mixture,0.2598984386998283,available,116.5118040539003,1.7507388592789654,0.894201600774143,0.9404378741654623,1.0,8,0.0,0.23541649999970105
