model_key,family,silhouette,silhouette_status,calinski_harabasz,davies_bouldin,ari_post_fit,nmi_post_fit,purity_descriptive,cluster_count_excluding_noise,noise_rate,fit_seconds
agglomerative,Agglomerative clustering,0.4709278003220374,available,5.824033296261707,0.4036980011075583,0.0,0.002760998390681556,0.2513888888888889,2,0.0,0.2962080999968748
dbscan,DBSCAN,0.296263209249768,available,71.84777790235806,1.1704788101799064,0.24333337864807583,0.46957887872512716,0.7291666666666666,13,0.18055555555555555,0.12675530000342405
kmeans,K-Means,0.2381512055205606,available,100.80276179103325,1.62138942304862,0.49827812027599094,0.6731177528422494,0.9027777777777778,8,0.0,0.4520907999976771
gaussian_mixture,Gaussian mixture,0.14990726489545134,available,67.19422686487098,2.139445881587648,0.33824327061751336,0.5402139029292342,0.8111111111111111,8,0.0,0.5199552000012773
