label,precision,recall,f1-score,support
german,1.0,1.0,1.0,52.0
italian,1.0,1.0,1.0,26.0
japanese,1.0,1.0,1.0,33.0
korean,1.0,1.0,1.0,38.0
portuguese,0.9696969696969697,1.0,0.9846153846153847,32.0
spanish,1.0,0.9666666666666667,0.9830508474576272,30.0
accuracy,0.995260663507109,0.995260663507109,0.995260663507109,0.995260663507109
macro avg,0.9949494949494949,0.9944444444444445,0.9946110386788353,211.0
weighted avg,0.9954042797644693,0.995260663507109,0.995256956073086,211.0
