rank_test_score,mean_test_score,std_test_score,mean_fit_time,mean_score_time,params
1,0.9537078925432294,0.029842312412917585,0.21960854530334473,0.03698859214782715,{'classifier__max_depth': 20}
1,0.9537078925432294,0.029842312412917585,0.2197202205657959,0.03664083480834961,{'classifier__max_depth': 15}
1,0.9537078925432294,0.029842312412917585,0.22044816017150878,0.036762571334838866,{'classifier__max_depth': 12}
1,0.9537078925432294,0.029842312412917585,0.21845340728759766,0.037480401992797854,{'classifier__max_depth': 10}
5,0.9469627723607689,0.030402417251176442,0.2179041862487793,0.03762803077697754,{'classifier__max_depth': 8}
6,0.9464883306924861,0.02600312899093488,0.21941852569580078,0.03706002235412598,{'classifier__max_depth': 7}
7,0.9294466832606391,0.03393120995393896,0.21834745407104492,0.037577581405639646,{'classifier__max_depth': 6}
8,0.9003601248403592,0.05412179399367987,0.21993083953857423,0.03727126121520996,{'classifier__max_depth': 5}
9,0.7131521494771511,0.05401264102656611,0.21689291000366212,0.03746213912963867,{'classifier__max_depth': 4}
10,0.5246344775608472,0.052747703933116785,0.21815271377563478,0.0368647575378418,{'classifier__max_depth': 3}
11,0.3417394579992754,0.04067304726921682,0.21881184577941895,0.037270975112915036,{'classifier__max_depth': 2}
12,0.18095858585858587,0.05884227154971584,0.2206346035003662,0.0368619441986084,{'classifier__max_depth': 1}
