label,precision,recall,f1-score,support
german,1.0,1.0,1.0,52.0
italian,1.0,1.0,1.0,26.0
japanese,0.9428571428571428,1.0,0.9705882352941176,33.0
korean,1.0,1.0,1.0,38.0
portuguese,0.967741935483871,0.9375,0.9523809523809523,32.0
spanish,1.0,0.9666666666666667,0.9830508474576272,30.0
accuracy,0.985781990521327,0.985781990521327,0.985781990521327,0.985781990521327
macro avg,0.985099846390169,0.9840277777777778,0.9843366725221162,211.0
weighted avg,0.9861707471553061,0.985781990521327,0.9857683775574653,211.0
