model_key,family,cv_macro_f1_mean,cv_macro_f1_std,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,fit_search_seconds,heldout_predict_seconds,registry_order_tiebreak
logistic_regression,Logistic regression,0.9905917330255484,0.004983840630233799,0.9924433249370277,0.9929577464788731,0.9927505330490405,0.9927342859285635,0.995260663507109,0.9949494949494949,0.9944444444444445,0.9946110386788353,0.9954042797644693,0.995260663507109,0.995256956073086,14.959893200000806,0.09107339999900432,2
knn,k-nearest neighbours,0.9770405362072028,0.014957174140397482,0.9899244332493703,0.9903318903318903,0.9902661064425771,0.9901761998180082,0.985781990521327,0.985099846390169,0.9840277777777778,0.9843366725221162,0.9861707471553061,0.985781990521327,0.9857683775574653,16.037502200000745,0.09980319999885978,0
decision_tree,Decision tree,0.9537078925432294,0.029842312412917585,1.0,1.0,1.0,1.0,0.985781990521327,0.9841518634622083,0.9836805555555556,0.9838331160365059,0.9859057976397411,0.985781990521327,0.9857708682192576,15.780972500000644,0.09071309999853838,1
multinomial_nb,Multinomial Naive Bayes,0.8813482726567597,0.12125764843597778,0.9798488664987406,0.9823757358968627,0.9805322128851541,0.9811189414476571,0.981042654028436,0.9776785714285715,0.9791666666666666,0.9773397052966946,0.9823121191604604,0.981042654028436,0.9807391552996201,16.182192700001906,0.09003389999998035,3
