label,precision,recall,f1-score,support
german,1.0,1.0,1.0,52.0
italian,0.9285714285714286,1.0,0.9629629629629629,26.0
japanese,1.0,1.0,1.0,33.0
korean,1.0,1.0,1.0,38.0
portuguese,1.0,0.875,0.9333333333333333,32.0
spanish,0.9375,1.0,0.967741935483871,30.0
accuracy,0.981042654028436,0.981042654028436,0.981042654028436,0.981042654028436
macro avg,0.9776785714285715,0.9791666666666666,0.9773397052966946,211.0
weighted avg,0.9823121191604604,0.981042654028436,0.9807391552996201,211.0
