label,precision,recall,f1-score,support
german,1.0,1.0,1.0,52.0
italian,1.0,1.0,1.0,26.0
japanese,1.0,1.0,1.0,33.0
korean,1.0,1.0,1.0,38.0
portuguese,0.9393939393939394,0.96875,0.9538461538461539,32.0
spanish,0.9655172413793104,0.9333333333333333,0.9491525423728814,30.0
accuracy,0.985781990521327,0.985781990521327,0.985781990521327,0.985781990521327
macro avg,0.9841518634622083,0.9836805555555556,0.9838331160365059,211.0
weighted avg,0.9859057976397411,0.985781990521327,0.9857708682192576,211.0
