label,precision,recall,f1-score,support
de,1.0,0.9761904761904762,0.9879518072289156,42.0
es,1.0,1.0,1.0,30.0
it,1.0,1.0,1.0,54.0
ko,0.9565217391304348,1.0,0.9777777777777777,22.0
accuracy,0.9932432432432432,0.9932432432432432,0.9932432432432432,0.9932432432432432
macro avg,0.9891304347826086,0.9940476190476191,0.9914323962516733,148.0
weighted avg,0.9935370152761457,0.9932432432432432,0.993277614964362,148.0
