cluster,true_language_post_fit,count
-1,de,31
-1,es,31
-1,it,50
-1,ko,18
0,de,75
0,es,50
1,de,35
2,de,39
2,ko,82
3,es,20
4,es,10
5,es,69
6,it,58
6,ko,26
7,it,8
8,it,6
9,it,41
10,it,5
11,it,12
12,ko,54
