cluster,true_language_post_fit,count
0,ko,56
1,es,80
2,de,88
2,es,24
2,it,1
3,ko,74
4,de,60
4,ko,25
5,de,32
5,es,29
5,it,111
5,ko,25
6,it,68
7,es,47
